sex,year,n,lon,lat
Hona,2015,3,476253.5,7143625.75
Hona,2020,1,482193,7139709
Hane,2015,2,402781,7087512
Hona,2019,4,577270.75,7137678.75
Hane,2019,1,604326,7144001
Hona,2017,7,520154.8333333333,6808771.25
Hona,2015,2,459919.5,6842812.5
Hona,2015,3,511561.25,6891702
Hona,2017,3,389134.5,6855489.25
Hona,2017,4,529780.8333333334,6753916.333333333
Hona,2015,3,505313,6958897.333333333
Hona,2017,3,507334.3333333333,6867831
Hona,2015,3,445223.25,6873832.75
Hona,2020,2,449493,6870227.5
Hona,2017,2,404465.5,6818731
Hona,2015,4,662474.3333333334,7030454.222222222
Hona,2020,3,662407.3333333334,7031803
Hona,2015,2,569667.5,6976726.5
Hona,2015,2,566360.5,7040670
Hona,2020,3,569839.75,7046490
Hona,2015,6,584987.7272727273,7092686.818181818
Hona,2020,1,588215,7094753
Hona,2015,2,520216.5,6937487.5
Hona,2015,1,644338,7026055
Hane,2015,9,622037.8,7059106.8
Hona,2015,4,606644.6,7037995
Hona,2015,2,580071,7073126
Hona,2020,2,582999,7068861
Hane,2015,4,656489,7056491.25
Hona,2015,5,674006.6,7040010.4
Hona,2020,8,678593.2222222222,7042886.222222222
Hona,2015,4,480951,7091090
Hona,2015,2,510976.75,7127940.75
Hona,2015,5,539903.6,7091251.6
Hona,2020,4,550817.8,7083242.8
Hona,2015,4,523334.2,7110945.2
Hona,2015,1,521849,7102278
Hona,2020,2,587833,7084893
Hona,2015,3,465177.25,7099419.5
Hona,2015,4,417550,7008781.6
Hona,2015,3,512621,7136968.333333333
Hona,2015,1,518537,7137338
Hona,2015,1,522775,7156944
Hona,2015,1,506333,7141254
Hona,2015,1,497564,7138269
Hona,2015,1,376592,6921682
Hona,2020,3,388036,6932592.25
Hona,2015,5,510980.45454545453,7115549.7272727275
Hona,2015,9,514616.6666666667,7048180.5
Hona,2015,3,536785.6666666666,7033004.666666667
Hona,2015,3,483645,7085666
Hona,2015,8,436782.36363636365,7008012.2727272725
Hona,2015,8,508405.8333333333,6968977.583333333
Hona,2020,9,549532.7857142857,6946263.642857143
Hona,2015,12,508796.0588235294,6957676.05882353
Hona,2015,5,518239.1666666667,6991500
Hona,2015,9,535207,7013415.7
Hona,2015,5,552066,7016900.125
Hona,2020,7,552348,7015313.363636363
Hona,2015,4,447595.5,6962912.5
Hona,2015,5,492992.6,6957197.4
Hona,2020,3,489650.6666666667,6955343.333333333
Hona,2015,4,457876.8333333333,6937530.833333333
Hona,2015,7,409960.28571428574,6969472
Hona,2015,5,493420.875,6887011.25
Hona,2020,5,493803.5,6886485.833333333
Hona,2015,2,483171.5,6892740
Hona,2020,2,486923.3333333333,6889586.333333333
Hona,2015,4,487367.6,6898307.2
Hona,2015,5,433855.6,6907192
Hona,2015,5,433754.3333333333,6894954.666666667
Hona,2020,1,429191,6893556
Hona,2015,2,435056.25,6891721.25
Hona,2020,1,435323.5,6886541
Hona,2015,5,489665.5,6868781.333333333
Hona,2015,6,439733.8888888889,6892603.666666667
Hona,2015,3,432349.5,6893901
Hona,2020,2,430192.3333333333,6897152.666666667
Hona,2015,4,418966.3333333333,6877514.333333333
Hona,2015,1,424468,6874319
Hona,2020,2,426840,6871771
Hona,2015,2,429822.5,6902985
Hona,2020,2,422448.5,6904436
Hona,2015,1,405593,6923610.5
Hona,2020,3,405227.5,6927649.25
Hona,2015,3,421170.75,6907359.25
Hona,2020,1,426000,6909232
Hona,2015,2,405771.5,6933392
Hona,2020,1,406683,6936472
Hona,2015,3,409540,6924362.333333333
Hona,2015,4,417038.75,6927542
Hona,2015,1,410766.6666666667,6909225
Hona,2015,11,420610.4166666667,6922443.25
Hona,2020,5,419152.6666666667,6922329.5
Hona,2015,1,503313,6889913
Hona,2017,1,515239,6881180
Hona,2015,1,448970,6846702
Hona,2015,2,434981.5,6898174.5
Hona,2015,2,394959,6913712.5
Hona,2015,2,449118.5,7171543.5
Hona,2015,2,509498.1538461539,7119663.615384615
Hona,2015,1,503555,7127850
Hona,2020,1,504606.5,7127104.5
Hona,2015,3,473388,7145743.333333333
Hona,2015,1,493545,7129325.5
Hona,2015,1,506323.5,7129034.5
Hona,2015,4,497073.2,7130429.8
Hona,2015,5,487057.4,7136418.4
Hona,2015,3,533786.3333333334,7113816
Hona,2015,5,576778.75,7090702.375
Hona,2020,2,579601.3333333334,7100932.666666667
Hona,2015,1,501099,7185774
Hona,2015,1,513191,7099955
Hona,2020,2,509637.3333333333,7094158
Hona,2015,1,540379,7135216
Hona,2015,5,553161.625,7103922.5
Hona,2020,5,555060,7109014.285714285
Hona,2015,5,574327.625,7094406.5
Hona,2015,1,522345,7104554
Hona,2020,6,520084,7108830.666666667
Hona,2015,1,523188,7103651
Hane,2015,6,496015.3333333333,7082786.5
Hane,2015,7,505915.75,6983570.5
Hane,2015,1,439622,7064948
Hane,2015,4,473080.25,7049253.5
Hane,2017,2,571696,6787539.5
Hane,2015,1,526892,6949331
Hane,2015,6,472445.8333333333,6943280.666666667
Hane,2015,8,465747.22222222225,6914013.111111111
Hane,2015,5,493147.5,6902908.8
Hane,2015,1,493259,7127495
Hane,2015,1,445232,6978946
Hane,2015,1,411099,6922238
Hane,2015,1,501889,6908181
Hane,2015,6,435894.36363636365,6881255.181818182
Hane,2015,3,443464.6666666667,6907007.333333333
Hane,2015,3,513854.5,6892837.75
Hane,2017,1,523352,6895547
Hane,2015,3,435578.3333333333,6889081.333333333
Hane,2015,4,467779.75,6916204.25
Hane,2017,1,566778,6646385
Hane,2015,3,501395.6666666667,7160990.666666667
Hane,2015,4,448273.8,6917509.2
Hane,2015,6,567229.6666666666,6967213.5
Hane,2020,9,575874,6965845.888888889
Hane,2015,11,525047.8823529412,7033128.764705882
Hane,2020,7,533595.375,7043428.125
Hane,2015,10,604524.6666666666,6976792.5
Hane,2015,1,577417,7018052
Hane,2015,9,527043.4444444445,7112989.222222222
Hane,2020,5,522673.6,7087356.4
Hona,2017,1,501366,6815810
Hona,2019,1,636065,7178667
Hona,2019,2,577077.5,7146598
Hona,2019,2,588210.6666666666,7211275.333333333
Hona,2019,1,596407,7181984
Hona,2015,4,678558.5,7073488.5
Hona,2020,5,678206.2222222222,7073907.555555556
Hona,2019,2,681619,7101632
Hona,2019,1,599020,7136778
Hona,2019,2,585038.3333333334,7131594.833333333
Hane,2015,1,669497,7084963
Hane,2019,1,529551.3333333334,7259126.333333333
Hona,2019,2,599790,7108784.5
Hona,2015,1,515527,7158623
Hane,2015,3,547140.3333333334,7052407.333333333
Hona,2019,1,620209,7201148
Hane,2015,1,594455,7084903
Hona,2015,2,576008.6666666666,7103576.666666667
Hane,2019,1,669289,7161234
Hona,2019,2,669853,7159239.5
Hona,2019,2,553442.5,7246990.5
Hane,2015,13,673130.0714285715,7070514.785714285
Hona,2019,3,686123.3333333334,7094459.666666667
Hona,2019,1,706531,7148947
Hona,2015,4,611807.25,7059703
Hane,2019,4,661752.25,7131229.5
Hona,2019,5,677344,7088512.8
Hona,2019,1,593439,7148390
Hona,2019,3,608602,7138776.333333333
Hona,2019,4,676907.4,7133340.2
Hane,2015,1,413345,6954293.5
Hona,2017,1,394493,6804435
Hane,2015,5,419257.5,7069961.666666667
Hane,2015,5,496778.2,7127808.8
Hona,2015,3,529782.8,7129507.8
Hane,2015,1,457166,7095284
Hane,2015,3,421712,6868275.666666667
Hona,2015,3,399704.75,6936719.5
Hona,2020,3,393637.6666666667,6930024.666666667
Hona,2015,1,378387,6901732
Hona,2017,1,373267,6896008
Hane,2017,5,377638,6839735
Hona,2016,1,827525,7382293
Hona,2016,1,829100,7364979
Hona,2016,3,625333.3333333334,7373204.666666667
Hona,2016,1,563050,7378958
Hona,2016,2,720442.5,7371251.5
Hona,2016,3,837279.3333333334,7391581.666666667
Hane,2016,2,662979.6666666666,7333859.333333333
Hona,2016,2,730607.5,7346002
Hona,2016,2,842999.5,7360672.5
Hona,2016,4,793804.8,7299799.4
Hona,2016,3,711970.6666666666,7407933.333333333
Hane,2016,2,851814.5,7404201.5
Hona,2016,1,683353,7417272
Hona,2016,2,667571.5,7358617.5
Hane,2016,2,737410,7423260.5
Hona,2016,3,748225.3333333334,7397020
Hona,2016,1,743217,7335402
Hona,2016,3,609387.6666666666,7332165
Hona,2016,3,789339.3333333334,7501783.333333333
Hane,2016,2,844374.5,7468924.5
Hane,2016,1,612826,7354856
Hona,2016,2,636627.5,7351457
Hona,2016,7,817578.4,7515360
Hane,2016,3,853556.3333333334,7540440.333333333
Hona,2016,5,782700.2,7361878.4
Hona,2016,5,763738.6666666666,7316498.333333333
Hona,2016,2,794694.5,7372967
Hona,2016,2,760134,7504414.5
Hona,2016,1,767390,7539076
Hona,2016,1,805822,7543625
Hona,2016,1,738096,7556380
Hona,2016,1,738936,7427332
Hane,2016,3,767694.3333333334,7535687.333333333
Hona,2016,7,769022.4285714285,7277193.142857143
Hona,2016,3,746953.2,7371657.2
Hona,2016,1,704013,7334827
Hona,2016,3,730134.3333333334,7279960
Hona,2016,2,798722.5,7501674.5
Hona,2016,3,740162.3333333334,7327402
Hona,2016,4,670176.4,7320627.8
Hona,2016,3,729005.5,7322202
Hona,2016,2,771088,7326294.5
Hona,2016,1,815496,7325768
Hona,2016,4,798348.4,7328569.4
Hona,2016,2,777373,7311131.5
Hona,2016,3,699447,7324162.666666667
Hona,2017,2,523541.75,6762849.75
Hona,2017,1,386535,6833494
Hona,2017,3,370859.14285714284,6863799.428571428
Hona,2017,2,491216.5,6826384
Hona,2017,2,524331,6770877.5
Hona,2017,4,536133.8333333334,6750316
Hona,2017,2,529499,6768145
Hona,2017,4,385351.5,6862734.25
Hona,2017,1,445606,6817006
Hona,2017,2,390791.5,6858806
Hane,2017,2,358594,6749588.5
Hona,2017,1,394571,6882548
Hane,2017,3,533163.6666666666,6875110.333333333
Hona,2017,3,498310,6793755.666666667
Hona,2017,5,448672.25,6766262.5
Hona,2017,2,511398.5,6744511.5
Hona,2017,3,517933.3333333333,6776138
Hona,2017,4,525122.25,6780303.5
Hona,2017,1,394319,6849208
Hona,2017,3,436079,6837302
Hona,2017,2,398087.5,6844632.5
Hane,2017,1,388374,6832725
Hona,2017,1,449991,6802121
Hona,2017,4,564848.6,6755314.4
Hona,2017,1,439001,6723482
Hona,2017,4,489391.25,6777819
Hona,2017,3,461111.3333333333,6736070.666666667
Hona,2017,7,532494.5,6761695.375
Hona,2017,1,484876,6713091
Hona,2017,3,481264.6666666667,6804327.333333333
Hona,2017,1,495986,6760414
Hona,2017,1,522490,6754177
Hona,2017,7,538153,6736888.571428572
Hona,2017,2,495062.5,6788986.5
Hona,2017,1,522639,6835856
Hona,2017,2,471407.5,6742187
Hona,2017,1,463255,6808760
Hona,2017,3,515095.3333333333,6860476.333333333
Hane,2015,2,586136.5,7011510
Hane,2020,1,609847,6991496
Hona,2017,1,490497,6859114
Hane,2017,2,506888.5,6833485
Hona,2017,12,524683,6879888.5625
Hona,2020,1,516817,6883825
Hona,2017,2,551463.6666666666,6763021.333333333
Hona,2017,2,511207.6666666667,6849038.333333333
Hona,2017,4,539443,6765560.25
Hona,2017,4,568608.4,6780401.2
Hona,2017,1,547188,6793932
Hane,2015,5,476352.5,7087713.166666667
Hane,2017,5,507088.8333333333,6779496.166666667
Hona,2017,3,530934,6890166.333333333
Hona,2017,2,549717,6849236.5
Hane,2017,14,568246.2173913043,6883148.043478261
Hona,2017,2,519908,6854348.75
Hona,2015,3,514665,6890073
Hona,2020,1,508868,6893880
Hona,2017,7,545591.2,6795603.1
Hona,2017,2,521355.75,6882118.5
Hona,2015,1,511603.5,6884457.5
Hona,2017,1,518681,6880768
Hona,2020,2,512980,6889756
Hona,2017,2,555430,6877236
Hona,2017,2,543075.5,6828131.5
Hane,2015,6,493063.3333333333,6939473.666666667
Hona,2017,1,564499,6831431
Hona,2017,2,548502.5,6801380
Hona,2017,4,571542,6765524.5
Hona,2017,11,535543.6875,6805080.5625
Hona,2017,1,533446.5,6881319
Hane,2017,2,585196,6773549
Hane,2017,13,509675.27777777775,6811748.444444444
Hona,2017,2,482425,6846085
Hane,2017,8,509392,6830850.7272727275
Hona,2017,1,590810,6765578
Hona,2017,3,516134,6877954.666666667
Hane,2015,4,482663.75,6911956.5
Hane,2020,3,484288,6914073.6
Hona,2017,3,569521.6666666666,6742561.5
Hona,2017,2,546927.5,6779937.5
Hane,2017,1,596458,6783408
Hona,2017,3,565431,6811256.8
Hona,2015,1,483978,6873381.5
Hona,2020,7,482928.4285714286,6873792.571428572
Hona,2017,4,512747.75,6846866.75
Hona,2017,2,484104.5,6846188.5
Hona,2017,5,502844,6841182
Hona,2015,3,543721.75,6925174.75
Hona,2020,1,556155,6914593
Hona,2017,6,590216.1111111111,6772019.111111111
Hane,2015,1,500643,6917576
Hane,2020,2,502416.5,6912930.5
Hona,2017,10,531521.2307692308,6873740.153846154
Hane,2015,3,560051.3333333334,6993313.666666667
Hona,2017,4,532593.2,6798486.2
Hona,2017,1,542158,6864771
Hona,2020,1,471277,6858763
Hona,2017,3,529023.1666666666,6858988.666666667
Hona,2017,1,560810,6819311
Hona,2017,5,583935.2857142857,6762596.285714285
Hona,2017,3,528145.6666666666,6836057
Hona,2017,2,543228.5,6772530.5
Hona,2017,5,580475.6,6773361
Hona,2017,3,521813,6805924.666666667
Hona,2017,4,539929.8333333334,6871344
Hona,2017,1,503838,6839328
Hane,2017,2,538486,6848482
Hane,2017,1,530076,6794547
Hane,2015,15,528165.8275862068,6983561.551724138
Hane,2020,13,539354.0714285715,6992914.285714285
Hona,2017,3,564160.3333333334,6768840.333333333
Hona,2017,6,558776.6,6834111.3
Hona,2017,3,540263.8,6826281.8
Hona,2017,7,589681.8888888889,6781761.666666667
Hona,2017,1,566577,6898789
Hona,2020,1,567448,6903612
Hona,2017,8,537222.5454545454,6874421.909090909
Hane,2017,2,551265.5,6884209
Hane,2015,3,493612.6666666667,6916931.333333333
Hona,2017,9,541622.2222222222,6888374.777777778
Hona,2017,2,516034.3333333333,6801131
Hona,2017,11,525281.4166666666,6846966.333333333
Hona,2017,1,547054,6831789
Hane,2015,3,598746,7045496.333333333
Hane,2020,6,609371.9,7043046.3
Hane,2015,2,661836.5,7094123
Hane,2016,2,791972.5,7243150.5
Hane,2019,2,789907,7238745
Hane,2019,6,690833.2857142857,7159973.142857143
Hona,2019,2,660198,7147709.5
Hane,2019,1,699000,7135797
Hane,2019,2,702596.5,7085025.5
Hane,2020,2,696182.5,7072729.5
Hane,2015,1,587605,7075276
Hona,2015,1,601986,7088957
Hona,2019,1,601393,7095938
Hane,2019,7,786402.1818181818,7150954.636363637
Hane,2019,3,556583.6666666666,7190162.666666667
Hona,2016,1,599183,7311049
Hona,2019,2,587919,7283638.5
Hona,2019,1,626104,7191674
Hona,2019,1,566817,7126130
Hona,2019,1,629438,7200723
Hona,2019,1,574968,7148234
Hona,2019,2,587915,7155542
Hona,2015,1,569751,7096726
Hona,2019,1,576532,7120802
Hona,2020,2,552009.25,7126126.5
Hona,2015,1,639252,7085984
Hona,2019,4,648182.25,7098695.75
Hona,2020,1,648747,7092095
Hona,2015,2,661620.5,7097109
Hona,2019,4,662098.6,7102978
Hona,2020,1,668635,7088469
Hane,2015,1,556784,7124457
Hane,2019,1,575079,7276440
Hane,2015,10,487853.125,7057366
Hane,2020,1,501127,7066838
Hane,2020,1,553514,7123264
Hane,2015,4,648277.5,7087742.25
Hane,2019,2,592578.5,7134803.5
Hona,2019,4,620892,7112122
Hona,2015,2,639782,7086847.333333333
Hona,2019,2,632740,7098385.5
Hane,2020,4,586851,7022175.75
Hane,2019,2,657764.5,7185334
Hane,2015,1,662839,7056779
Hona,2019,2,608145.5,7155435
Hona,2019,1,613588,7158297
Hona,2019,2,643012.5,7222196.5
Hona,2015,3,632088.3333333334,7065015.333333333
Hane,2015,2,571892.5,7099569.5
Hane,2019,1,585769,7110782
Hane,2020,1,585305,7097851
Hona,2015,4,595960.6666666666,7088916.555555556
Hona,2019,3,596028.5,7096672
Hona,2020,2,595534.6666666666,7087565.666666667
Hona,2019,1,696611,7094389
Hona,2015,1,470282,7095727
Hane,2015,8,433414.2727272727,6898926.2727272725
Hane,2017,2,372227.5,6841581
Hona,2017,1,379476,6816852.5
Hane,2017,3,420886.3333333333,6711124.333333333
Hane,2015,1,505679,7106293
Hane,2017,7,401765.375,6828306.125
Hona,2017,3,369283.3333333333,6853592.666666667
Hona,2017,4,366630.25,6867533.5
Hane,2015,2,385161.5,7014516
Hane,2017,2,377658,6869497
Hane,2015,1,375042,6903044
Hane,2017,3,388619.6666666667,6814954.333333333
Hane,2017,4,371235.5,6757354.75
Hona,2015,2,457217,7157835.75
Hona,2015,2,439818,7166067.5
Hane,2015,7,398030.22222222225,6998765.444444444
Hane,2015,1,448221,6878272
Hane,2017,4,397692,6779225.5
Hona,2017,1,383940,6788807
Hona,2017,2,386501.8,6803581
Hane,2015,3,532716,7130609
Hane,2017,2,378829,6787619
Hane,2017,2,373965,6826958.5
Hane,2017,3,366732.75,6749991.5
Hane,2017,4,364481.8,6862624.6
Hane,2015,2,420189,6900390.5
Hane,2017,1,378644,6763809
Hane,2015,1,472626,7145410
Hane,2015,6,428661.85714285716,7027559.142857143
Hane,2015,10,495775.9090909091,7024191.636363637
Hona,2015,1,663628,7092613
Hona,2019,3,649272.3333333334,7101724
Hona,2015,1,659572,7088351
Hona,2015,1,551715,7055706
Hane,2015,1,647031,6989488
Hona,2015,1,594264,7059035
Hona,2020,2,597656,7082064.5
Hona,2015,1,652694,7075556
Hane,2015,1,656966,7081928
Hane,2015,1,664665,7046656
Hona,2015,1,657657,7063631
Hona,2020,2,667423,7057889
Hona,2015,1,613220,7051488
Hona,2015,1,577865,7051029
Hona,2020,3,579319.2,7045475.6
Hona,2015,1,597309,7025095
Hona,2015,1,653393,7087841
Hona,2020,2,653835,7083658
Hane,2015,1,533506,6921677
Hane,2017,1,563538,6881159
Hona,2015,1,590695,7084745
Hane,2015,1,524794,6914286
Hane,2015,1,538443,6925299
Hane,2015,1,654268,7058712
Hona,2015,1,666714,7055104
Hane,2015,1,561849,6909494
Hane,2017,6,524681.3333333334,6895993.333333333
Hona,2015,1,672984,7070031
Hane,2015,1,644259,7045172
Hona,2019,2,775523.5,7149457.5
Hona,2015,1,667791,7100302
Hona,2019,2,670765.5,7109828
Hane,2015,1,504243,6918486
Hona,2015,1,632838,7012951
Hona,2020,4,640474.8,7004604
Hane,2015,1,636125,7007846
Hona,2015,1,648154,7043165
Hane,2015,1,605394,7077948
